method,seed,validation_conflict_auc,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,risk_samples,risk_coverage_count,handover_progress,proposed_risk_steps,intervention_steps,teacher_fallback_steps,teacher_unavailable_steps,safe_samples,safe_buffer_size,safe_coverage_count
fixed_00,0,0.83125,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
fixed_10,0,0.6020833333333333,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
fixed_25,0,0.5854166666666667,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
time_decay,0,0.6729166666666667,0.9791666666666666,0.020833333333333332,0.0,0,0,0.0,0,0,0,0,0,0,0
risk_handover,0,0.29166666666666663,0.8333333333333334,0.125,0.041666666666666664,3173016,133,1.0,0,0,0,0,0,0,0
intervention_only,0,0.4416666666666666,0.4166666666666667,0.5833333333333334,0.0,0,0,0.0,2999,2999,0,0,0,2999,32
safe_replay_04,0,0.6020833333333333,0.2916666666666667,0.7083333333333334,0.0,0,0,0.0,2523,2523,0,0,799648,2523,32
safe_replay_08,0,0.4562500000000001,0.4166666666666667,0.5833333333333334,0.0,0,0,0.0,2460,2460,0,0,1598830,2460,32
fixed_00,1,0.6020833333333334,0.8125,0.1875,0.0,0,0,0.0,0,0,0,0,0,0,0
fixed_10,1,0.66875,0.8541666666666666,0.0625,0.08333333333333333,0,0,0.0,0,0,0,0,0,0,0
fixed_25,1,0.6479166666666667,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
time_decay,1,0.6312500000000001,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
risk_handover,1,0.2854166666666666,0.6666666666666666,0.3333333333333333,0.0,3176124,112,1.0,0,0,0,0,0,0,0
intervention_only,1,0.4458333333333334,0.6666666666666666,0.3333333333333333,0.0,0,0,0.0,2830,2830,0,0,0,2830,33
safe_replay_04,1,0.3312500000000001,0.6666666666666666,0.3333333333333333,0.0,0,0,0.0,3404,3404,0,0,799374,3000,32
safe_replay_08,1,0.5708333333333333,0.2916666666666667,0.7083333333333334,0.0,0,0,0.0,2262,2262,0,0,1598291,2262,30
fixed_00,2,0.5541666666666667,1.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
fixed_10,2,0.47916666666666663,0.8333333333333334,0.0,0.16666666666666666,0,0,0.0,0,0,0,0,0,0,0
fixed_25,2,0.46875,0.8541666666666666,0.14583333333333334,0.0,0,0,0.0,0,0,0,0,0,0,0
time_decay,2,0.8083333333333332,0.9791666666666666,0.020833333333333332,0.0,0,0,0.0,0,0,0,0,0,0,0
risk_handover,2,0.4333333333333333,0.8958333333333334,0.0,0.10416666666666667,3162916,193,1.0,0,0,0,0,0,0,0
intervention_only,2,0.425,0.4166666666666667,0.5833333333333334,0.0,0,0,0.0,3230,3230,0,0,0,3000,33
safe_replay_04,2,0.44166666666666665,0.2916666666666667,0.7083333333333334,0.0,0,0,0.0,3189,3189,0,0,799421,3000,33
safe_replay_08,2,0.43958333333333327,0.5625,0.4375,0.0,0,0,0.0,2851,2851,0,0,1598377,2851,30
